Capacity,Voltage
99.8852876335513, 3.4608911062282806
99.74952469247955, 3.444778496906636
99.54578879641029, 3.424641852055354
99.34209864257186, 3.4024890726384798
99.20638144373093, 3.3843603287512427
99.09326090691475, 3.3702611094613415
98.93471833489498, 3.358183513804731
98.79886390936159, 3.3461031736142712
98.64045856403428, 3.3279771742608837
98.52729228498727, 3.3158940895365747
98.39130063276143, 3.3098621530428924
98.27822583817607, 3.2937467991873985
98.14237141264267, 3.281666458996939
98.02911364913403, 3.273615643403815
97.91590162785621, 3.2635486932450988
97.7802301712461, 3.243403814792269
97.62150463030306, 3.2393907573980285
97.4629620582833, 3.227313161741418
97.3043737440327, 3.2172517006504
97.19111598052406, 3.209200885057276
97.00979377755627, 3.2011583030656996
96.7833239927698, 3.1830405373138593
96.6701577137228, 3.1709574525895503
96.48874402629338, 3.1669471397291584
96.35302682745244, 3.148818395841922
96.12628258928106, 3.142797437483636
95.85420780036773, 3.134765833627456
95.71812466368024, 3.1327661662649584
95.51420579868771, 3.1206940596760466
95.2875987872088, 3.1086246976209835
95.06099177572986, 3.0965553355659203
94.9704221587076, 3.088501775438947
94.78900847127818, 3.0844914625785558
94.63042015702759, 3.0744300014875376
94.42631832311177, 3.070422433160995
94.24499612014398, 3.0623798511694185
94.06362817494536, 3.056353403743435
93.79159912826286, 3.0463056653216625
93.63291932955063, 3.0402764733618293
93.40617509137925, 3.0342555150035437
93.06603586300677, 3.026232144748911
92.79400681632427, 3.016184406327139
92.47650999220735, 3.01017442610425
92.24962852734352, 3.0102018714427414
92.13632502160405, 3.0041671904152096
91.75080950025881, 2.996149309228276
91.59208395931577, 2.992136251834035
91.45595508039746, 2.9921527190371298
91.2972295394544, 2.9881396616428892
91.07034807459057, 2.988167106981381
90.82082420547117, 2.986181162288129
90.6847410687837, 2.9841814949256316
90.38997813338398, 2.976152635603301
90.1405000064954, 2.972150556344457
90.00450835426955, 2.9661186198507745
89.6641861569738, 2.966159787858512
89.43730469210996, 2.9661872331970036
89.11980786799305, 2.9601772529741144
88.73424660441698, 2.9541755063527724
88.3259057098929, 2.9522087733964653
88.0763818407735, 2.9502228287032137
87.62266465327663, 2.9482615848146043
87.37318652638805, 2.94425950555576
87.21436950098337, 2.944278717292704
87.03295581355394, 2.9402684044323126
86.85140489943204, 2.9423064952686984
86.6244776923374, 2.9443500751727827
86.44301826267713, 2.942355896877983
86.26165031747853, 2.936329449451999
86.08023663004909, 2.9323191365916075
85.78519924126446, 2.9363870846628313
85.44487704396872, 2.9364282526705687
85.19530743261849, 2.9364584425429094
84.94573782126827, 2.9364886324152506
84.65079191694528, 2.9365243113552895
84.35607472377639, 2.9264793174673662
83.99306437999425, 2.9265232300089528
83.74349476864403, 2.9265534198812935
83.58467774323935, 2.926572631618238
83.28973183891635, 2.9266083105582767
82.92676723736503, 2.924636088534271
82.8589772512908, 2.912547514742264
82.51833485837932, 2.926701624709148
82.13259062587997, 2.9287644163501763
81.86042435250499, 2.9247650816251816
81.49723103979957, 2.9328735324291375
81.24779865514182, 2.926855318604701
81.04365107899518, 2.9248638848437514
80.7035118506227, 2.916840514589119
80.22715225887029, 2.9128658806687664
79.93216061231648, 2.914917694174398
79.52368249109993, 2.9189993649148676
79.34217731920887, 2.9190213211856606
79.09269919232028, 2.915019241926817
78.7977990302281, 2.9130387863012634
78.57082608090263, 2.9170985007709396
78.2759716610413, 2.913101910579794
78.02640204969106, 2.9131321004521347
77.8448968778, 2.913154056722928
77.6181068973978, 2.909149232930235
77.36853728604757, 2.9091794228025756
77.07345415503212, 2.915263505439392
77.09632527044178, 2.907196222643173
76.52884715489728, 2.9193616433829566
76.75582010422276, 2.91530192891328
76.39294698713307, 2.9092974377580894
76.21153329970365, 2.905287124897698
76.07545016301616, 2.9032874575352006
75.82583480943512, 2.9053337819731335
75.55357705159852, 2.9053667163793233
75.28131929376191, 2.905399650785513
75.12259375281886, 2.9013865933912726
74.85047322167472, 2.895371124100685
74.55552731735173, 2.895406803040724
74.16960011592911, 2.9055341329441218
73.87465421160613, 2.905569811884161
73.7612134791742, 2.905583534553407
73.48895572133759, 2.9056164689595967
73.19405555924541, 2.9036360133340438
72.83118244215575, 2.8976315221788527
72.4227043209392, 2.9017131929193223
72.10520749682229, 2.8957032126964335
71.81021585026846, 2.8977550262020646
71.62871067837742, 2.897776982472858
71.3564529205408, 2.897809916879048
71.15235108662499, 2.8938023485525055
70.92556110622279, 2.889797524759812
70.63047797520734, 2.8958816073966287
70.4035965103435, 2.8959090527351203
70.19940319196604, 2.895933753539763
69.97252172710222, 2.8959611988782545
69.83639284818392, 2.8959776660813494
69.58686897906452, 2.8939917213880975
69.36003325643149, 2.8920030321609964
69.11060087177373, 2.88598481833656
68.74759052799159, 2.886028730878147
68.45264462366859, 2.886064409818186
68.13501057285923, 2.8861028332920737
67.79468837556348, 2.8861440012998116
67.45422895157526, 2.892233573004326
67.20465934022505, 2.8922637628766665
66.84160325421209, 2.894323809983846
66.66009808232101, 2.8943457662546392
66.22897755684889, 2.8964140469633657
65.86601295529758, 2.89444182493936
65.72988407637928, 2.894458292142455
65.41234151003154, 2.890464446485158
65.16277189868131, 2.890494636357499
64.7770734084128, 2.8905412934329346
64.52745805483175, 2.8925876178708676
64.20982400402238, 2.892626041344756
63.846767918009434, 2.8946860884519348
63.552004982609716, 2.886657229129604
63.279838709234745, 2.8826578944046095
63.0302233556537, 2.8847042188425425
62.84871818376264, 2.8847261751133355
62.57646042592604, 2.8847591095195257
62.2361839708611, 2.882784142961671
